(143365, 14010)
(143366, 14009)
(143367, 14008)
(144464, 10880)
(144465, 3674)
(144465, 10879)
(144466, 10878)
(150365, 15041)
(150366, 15040)
(150510, 18966)
(150510, 6342)
(150510, 8735)
(150511, 6341)
(150512, 6340)
(151675, 7096)
(151675, 10451)
(153270, 6787)
(153270, 11226)
(158325, 5974)
(158325, 15111)
(159523, 15980)
(159523, 19338)
(159524, 15979)
(159524, 19337)
(161455, 19154)
(161456, 10657)
(161456, 17587)
(161456, 19153)
(161457, 17588)
(161458, 17589)
(165366, 18787)
(165367, 14633)
(165367, 18786)
(165368, 14632)
(165368, 18785)
(165369, 18784)
(165370, 18783)
(165507, 5327)
(165508, 5328)
(165508, 9373)
(165509, 5329)
(165509, 9374)
(170478, 207)
(170478, 2502)
(170479, 208)
(170479, 2503)
(171288, 20166)
(171289, 11510)
(171289, 20167)
(171290, 11511)
(171290, 20168)
(171290, 19724)
(171291, 11512)
(177013, 20629)
(177014, 20628)
(177015, 20627)
(177548, 2830)
(177549, 2829)
(177550, 2828)
(177550, 13979)
(177550, 17943)
(177551, 17942)
(177552, 17941)
(180043, 8595)
(180044, 8594)
(180045, 8593)
(180046, 8592)
(181578, 7609)
(181579, 7608)
(181580, 7607)
(181581, 4600)
(181581, 7606)
(181581, 9781)
(181582, 4599)
(181582, 9780)
(181583, 9779)
(182271, 8252)
(182271, 12502)
(190242, 15112)
(190243, 5974)
(190243, 15111)
(192712, 6450)
(192712, 20230)
(192712, 13500)
(194250, 19155)
(194251, 19154)
(194252, 10657)
(194252, 17587)
(194252, 19153)
(194253, 19152)
(195215, 4385)
(195216, 1510)
(195216, 5892)
(195216, 4384)
(195217, 1511)
(195217, 4383)
(195449, 7919)
(195449, 11367)
(195450, 7918)
(198099, 208)
(198099, 2503)
(200346, 18966)
(200346, 6342)
(200346, 8735)
